"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Azerbaijan","AZE","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9","99.9","99.32","98.59","98.67","98.66","98.39","97.9","98.24","98.05","98.29","98.39","97.32","96.95","97.14","97.12","97.61","97.84","98.37","98","96.99","97.9","98.5","98.24","98.39","98.06","98.69","98.92","98.9","99.08","99.19","99.43","100","","",
"Burundi","BDI","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.79","76.38","75.94","75.92","77.65","77.38","77.61","75.95","77.12","75.79","75.88","75.56","74.55","75.37","74.97","74.64","73.67","72.47","73.26","72.61","72.68","70.21","70.83","70.58","72.25","74.92","69.91","70.2","73.75","70.21","71","67.18","67.09","69.34","",
"Benin","BEN","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.84","3.85","3.93","3.83","3.86","3.78","13.33","17.32","17.33","21","25.48","27.46","29.64","32.07","32.82","31.05","36.32","39.66","39.07","39.8","42.6","40.79","39.64","38.02","38.33","40.43","44.66","45.33","46.27","43.61","45.73","40.41","39.64","","",
"Burkina Faso","BFA","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.63","12.04","11.85","11.34","11.59","11.28","13.37","14.72","15.43","20.2","22.48","19.07","18.56","18.64","18.1","17.55","19.6","21.37","20.32","20.12","15.96","16.42","18.57","18.57","18.86","20.53","21.28","23.09","24.04","24.05","27.31","24.89","24.03","","",
"Bangladesh","BGD","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.58","44.72","46.74","48.83","50.26","54.1","55.89","56.34","56.93","57.65","57.93","61.28","61.25","62.48","62.76","64.04","65.94","67.11","68.29","69.88","71.15","72.03","73.35","74.91","75.34","76.86","78.77","79.41","79.7","80.91","81.15","82.5","83.13","","",
"Bulgaria","BGR","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.1","82.34","82.55","81.97","79.91","78.81","77.49","76.85","76.27","74.75","72.4","73.17","70.49","74.1","73.98","72.99","72.56","77.74","76.16","73.46","73.69","75.52","72.61","70.14","71.17","72.43","69.4","70.82","67.35","65.63","62.09","65.86","68.8","","",
"Bahrain","BHR","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.99","100","99.88","99.88","99.92","100","99.99","100","100","100","99.97","99.87","99.95","100","99.98","99.96","","",
"Bahamas, The","BHS","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.93","93.78","91.17","89.58","67.4","67.98","72.99","84.75","85.61","84.81","87.89","87.3","87.75","88.88","89","88.51","90.49","91.07","92.32","92.6","91.65","94","91.95","92.5","88.1","86.13","89.19","90.6","81.82","79.58","80.53","79.95","78.81","","",
"Belarus","BLR","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.71","97.42","97.76","97.45","97.33","95.75","94.66","94.74","93.37","94.24","93.66","92.88","93.4","93.51","94.78","93.98","93.76","93.59","94.3","93.04","93.55","92.91","92.56","92.27","93.66","93.55","93.33","93.05","94.39","94.01","92.59","87.69","86.62","","",
"Belize","BLZ","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.7","65.95","68.68","68.13","71.23","74.03","77.23","79.11","79.58","78.87","74.6","75.64","79.44","80.17","79.83","81.73","81.26","80.9","80.68","80.89","81.95","83.22","84.39","84.21","85.81","85.5","86.8","86.7","86.3","85.34","82.26","84.13","84.84","","",
"Brazil","BRA","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.24","52","52.74","53.32","53.31","54.62","56.3","56.72","57.36","57.3","58.26","58.98","57.19","54.72","54.8","54.36","53.54","52.77","52.74","51.46","53.7","54.72","56.45","57.92","58.84","57.05","54.54","54.9","52.43","51.87","49.73","53.72","51.04","49.35","",
"Barbados","BRB","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.87","99.92","99.96","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.99","100","99.99","100","100","100","100","100","99.99","99.99","","",
"Bhutan","BTN","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","",
